,name,function,chain,date
282,Sonic Swap,Exit Scam,ETH,21.12.2020
283,Trump Swap,Honeypot,ETH,24.10.2020
284,Enjo,Exit Scam,ETH,28.11.2020
285,CAP5,Exit Scam,ETH,08.11.2020
286,Gaia protocol,Exit Scam,ETH,07.12.2020
287,Potatos Finance,Exit Scam,BSC,17.12.2020
288,Waronrug degen token,Exit Scam,ETH,05.12.2020
289,SAILSAN,Exit Scam,ETH,10.11.2020
290,GoldenFarm,Exit Scam,BSC,07.12.2020
291,BOMBHEAD token,Honeypot,ETH,24.10.2020
292,Dswap,Exit Scam,ETH,10.11.2020
293,Jin Finance,Honeypot,ETH,07.12.2020
294,Waffle Finance,,BSC,05.02.2021
295,Hyft finance,,BSC,08.02.2021
296,Spark,Honeypot,ETH,
297,HotDew Token,Abandoned,ETH,
298,Darkwebcoin,,ETH,13.11.2020
299,Citadeli,,ETH,
300,PenguinCoin,,ETH,
301,Paypal,,ETH,
302,Kanva,,ETH,
303,Mariofarm Finance,,ETH,
304,BURN ONE TOKEN,,ETH,
305,Transformers Finance,,ETH,
306,KoalaRise,Honeypot,BSC,
307,EverTiki,Honeypot,BSC,
308,DogeBoo,Honeypot,BSC,
309,FLOKI DOWN,Honeypot,BSC,
310,Trace Network,Honeypot,BSC,
311,RCums,Honeypot,BSC,
312,Foxography,Honeypot,BSC,
313,SafeSolarStar,Honeypot,BSC,
314,CocoBee,Honeypot,BSC,
315,CFInu,Honeypot,BSC,
316,OCTOPIX,Honeypot,BSC,
317,MIAU,Honeypot,BSC,
318,LOVELY SHIBA,Honeypot,BSC,
319,EverRise Token,Honeypot,BSC,
320,SuperSushi,Honeypot,BSC,
321,VOLCANOS,Honeypot,BSC,
322,RASIM OZAN,Honeypot,BSC,
323,SafeDoge,Honeypot,BSC,
324,SoftdrinkSwap,Abandoned,BSC,12.11.2020
325,Portal io,Honeypot,BSC,
326,FLOUR FINANCIAL,Honeypot,BSC,
327,DogeTeen,Honeypot,BSC,
328,unirocket,Honeypot,BSC,
329,ALLSTARDOGE,Honeypot,BSC,
330,SHARKMOON,Honeypot,BSC,
331,Sonar,Honeypot,BSC,
332,Wolfy,Honeypot,BSC,
333,AnimalHouse Finance,Honeypot,BSC,
334,ChildDoge,Honeypot,BSC,
335,Olympus,Honeypot,BSC,
336,Astrokitties,Honeypot,BSC,
337,Cresco,Honeypot,BSC,
338,ShibaElonMars,Honeypot,BSC,
339,Papito,Honeypot,BSC,
340,Pill Finance,,BSC,
341,DogeLord,Honeypot,BSC,
342,PepeRise,Honeypot,BSC,
343,MoneyWulf,Honeypot,BSC,
344,Shiba Inu Bone,Honeypot,ETH,
345,Generate Finance,,BSC,
346,RAICHU TOKEN | raichutoken.com,Honeypot,ETH,
347,Chad Token,Honeypot,BSC,08.03.2021
348,OniChan,Honeypot,ETH,
349,BoobsFinance,,BSC,
350,2Crazy,Honeypot,ETH,
351,OgreSwap,,BSC,12.03.2021
352,TIKI,Honeypot,BSC,
353,Chef Swap,,BSC,12.03.2021
354,OnlyFanGirls,Honeypot,BSC,
355,Crocoswap finance,,BSC,14.03.2021
356,Player 2,Honeypot,BSC,
357,AmpChain,Honeypot,ETH,
358,MoonSquad,Honeypot,BSC,
359,PulseChain,Honeypot,ETH,
360,MoonRise,Honeypot,BSC,
361,CSHIBA,Honeypot,ETH,
362,Pera Finance,Honeypot,BSC,
363,Knight,Honeypot,BSC,
364,Platinum Coin,Honeypot,BSC,
365,VitaDAO.com,Honeypot,ETH,
366,Burn,Honeypot,BSC,
367,HEXICO,Honeypot,ETH,
368,PabloEscobarFi,,BSC,10.03.2021
369,SuperSonicShiba,Honeypot,BSC,
370,MoonRabit,Honeypot,BSC,
371,UglyInu,Honeypot,BSC,
372,WD,Honeypot,BSC,
373,VikingSwap,Abandoned,BSC,07.03.2021
374,PolyTools,Honeypot,POLYGON,
375,Cezo,,ETH,
376,ZUMBA MARS,Honeypot,BSC,
